,doc_count
ability,10805
able,16981
absolutely,3805
accelerate,4515
accelerated,3205
accelerating,2633
acceleration,2933
access,4640
account,5052
accounting,2599
achieve,4053
achieved,2897
acquisition,10321
action,6771
active,3410
activity,11303
actual,5425
actually,18813
add,12995
added,3711
adding,3216
addition,8393
additional,12769
address,4244
adjusted,6565
adjustment,3321
adoption,2281
advanced,2153
advantage,5635
advertising,1994
afternoon,6378
ago,9891
agreement,3068
ahead,23529
allocation,3385
allow,3493
america,10468
american,2722
analytics,2176
andrew,2868
announced,6389
annual,4887
answer,8122
anticipate,4936
anticipated,3350
application,3311
appreciate,9395
approach,6394
appropriate,3035
approval,2274
approximately,7382
april,4717
area,14697
asia,3406
ask,9170
asked,3154
asset,11840
associated,5090
assume,4061
assuming,3480
assumption,4968
attractive,3258
auto,2556
automotive,1729
available,8006
average,7821
away,4063
backlog,3585
balance,12897
bank,7591
barrel,1159
base,10255
based,13095
basically,4497
basis,19916
begin,7604
beginning,6288
believe,17157
benefit,16066
best,10542
better,20874
big,14487
bigger,4241
biggest,3824
billion,15226
bit,36964
board,5284
bob,2989
book,3751
booking,2635
brand,7877
brian,3606
bring,5897
bringing,3665
broad,3531
broader,3582
broadly,3112
budget,2212
build,9509
building,8111
built,4429
business,54216
buy,3390
buyback,2654
buying,2613
called,3087
came,5662
capability,8020
capacity,8989
capex,5194
capital,21115
capture,2504
card,2234
care,4888
case,9466
cash,16710
category,7349
cause,3098
center,5294
ceo,3522
certain,8045
certainly,15628
chain,5844
challenge,6436
challenging,3967
change,21090
changed,4770
changing,3262
channel,5895
charge,3195
chief,4106
china,8484
chris,4258
city,2186
clear,7024
clearly,8229
client,5860
clinical,1934
close,7954
closed,3447
closely,2944
closer,2862
closing,5433
cloud,3393
color,11780
combination,5011
combined,4381
come,53213
comfortable,3455
coming,19398
comment,19615
commentary,3732
commercial,8291
commitment,4870
committed,4395
commodity,2104
common,2062
community,4273
comp,5342
company,23852
comparable,2852
compare,2893
compared,6991
comparison,2741
compensation,2194
competitive,7105
competitor,4041
complete,3205
completed,3621
component,4596
condition,4675
conference,8962
confidence,6086
confident,6916
consistent,7730
constant,1960
construction,3087
consumer,9948
content,2931
context,3491
continue,35703
continued,12432
continues,9852
continuing,8818
contract,5546
contribution,4277
control,4439
conversation,3298
conversion,2913
core,8215
corporate,4547
correct,3136
cost,26578
count,2943
country,5368
couple,17193
course,10835
cover,3031
covid,10717
create,5130
creating,2745
credit,8594
crisis,2750
critical,3627
curious,6998
currency,3572
current,11350
currently,5016
customer,29316
cycle,5985
data,11353
date,3739
dave,2828
david,4850
day,17451
deal,8126
debt,6616
december,3951
decision,6271
decline,8485
declined,2981
decrease,2820
decreased,2105
definitely,3767
deliver,8247
delivered,5258
delivering,4714
delivery,4349
demand,16606
deployment,2574
deposit,2221
design,2618
despite,4815
development,8210
device,2121
differ,3531
difference,4323
different,17024
difficult,5101
digit,4500
digital,7259
diluted,2269
direct,3656
directly,2810
disciplined,2871
discus,4882
discussed,4363
discussion,6147
disruption,2570
distribution,5207
dividend,6026
dollar,5699
domestic,2061
double,3014
doubledigit,3686
drive,12683
driven,10705
driver,7698
driving,8772
drove,2970
dynamic,6484
earlier,13045
early,13379
earnings,17746
ebitda,4520
ecommerce,2207
economic,5644
economy,4500
effect,4997
effective,4328
efficiency,6195
efficient,3001
effort,7115
electric,1587
element,3167
employee,5761
enable,2507
encouraged,2571
end,23009
ended,3592
energy,4514
engagement,2528
ensure,3261
enterprise,3699
entire,3946
environment,14859
eps,5473
